event_id,duration,num_scans,scans_per_second,min_distance,max_distance,mean_distance,std_distance,max_intrusion,mean_intrusion,intrusion_std,intrusion_ratio,temporal_variation,spatial_spread,label
flower_1_20260226031339937303,2.0000858306884766,30,14.999356297461143,0.27,0.363,0.317775,0.029646789756348706,0.07999999999999996,0.03222499999999998,0.029646789756348706,0.22857142857142848,0.02389383396870702,4,bee
flower_1_20260226031343070373,0.599707841873169,9,15.007307511418857,0.314,0.357,0.34130555555555553,0.01314060108310866,0.035999999999999976,0.008694444444444435,0.01314060108310866,0.1028571428571428,0.002041666666666672,4,bee
flower_1_20260226031346736756,1.5336909294128418,23,14.996502593130234,0.283,0.354,0.3238913043478261,0.019423819364881394,0.067,0.026108695652173892,0.019423819364881394,0.19142857142857145,0.01594714745205886,4,bee
flower_1_20260226031352869697,2.2669739723205566,34,14.997966635318873,0.3,0.358,0.333375,0.01735423419354609,0.04999999999999999,0.016624999999999984,0.01735423419354609,0.14285714285714282,0.010043513284250136,4,bee
flower_1_20260226031357802997,1.665930986404419,25,15.006624046268287,0.299,0.354,0.32674,0.017520908144905676,0.05099999999999999,0.023259999999999982,0.017520908144905676,0.14571428571428569,0.013382684708233993,4,bee
flower_1_20260226031401669721,0.5994932651519775,9,15.012679079419533,0.314,0.346,0.3323611111111111,0.009550326180750591,0.035999999999999976,0.017638888888888857,0.009550326180750591,0.1028571428571428,0.002910409955850061,4,bee
flower_1_20260226031404602838,1.3327689170837402,20,15.006352371844342,0.306,0.352,0.3371625,0.01308535150657531,0.043999999999999984,0.012837499999999983,0.01308535150657531,0.12571428571428567,0.0021387327162548683,4,bee
flower_1_20260226031441202440,0.6002829074859619,9,14.992930646139499,0.313,0.343,0.3286388888888889,0.00828821117277091,0.03699999999999998,0.021361111111111074,0.00828821117277091,0.10571428571428565,0.0014848774734337858,4,bee
flower_1_20260226031452002765,1.866192102432251,28,15.003814432344322,0.299,0.36,0.3306428571428571,0.016222471980823303,0.05099999999999999,0.01935714285714283,0.016222471980823303,0.14571428571428569,0.010992090711100326,4,bee
flower_1_20260226031458602442,1.7326982021331787,26,15.00549834240642,0.303,0.365,0.3310961538461539,0.013442086660981775,0.046999999999999986,0.018903846153846125,0.013442086660981775,0.13428571428571426,0.009956173191311223,4,bee
flower_1_20260226031536069116,1.267035961151123,19,14.995628050476316,0.309,0.35,0.33260526315789474,0.011892943507103609,0.04099999999999998,0.017394736842105234,0.011892943507103609,0.11714285714285709,0.0036164322019560918,4,bee
flower_1_20260226031544136029,1.3999669551849365,21,15.000354059946998,0.304,0.351,0.3359642857142857,0.01347415770984119,0.045999999999999985,0.014035714285714266,0.01347415770984119,0.1314285714285714,0.0032521970595715335,4,bee
flower_1_20260226031614069131,0.6005740165710449,9,14.98566330156134,0.313,0.355,0.33661111111111114,0.012294662669578614,0.03699999999999998,0.013388888888888865,0.012294662669578614,0.10571428571428565,0.004366261113482673,4,bee
flower_1_20260226031637534839,1.8664498329162598,28,15.001742616489736,0.299,0.359,0.3312857142857143,0.018555700695851617,0.05099999999999999,0.018714285714285697,0.018555700695851617,0.14571428571428569,0.013686590200731189,4,bee
